Title,Artist,Link
 Untitled - Abstract Print of Foliage in Black and White (1982),Rena R. Simpson II,https://collections.ed.ac.uk/art/record/99332?highlight=*:*
 Brick coloured woven fragment ,Unknown,https://collections.ed.ac.uk/art/record/102701?highlight=*:*
 Architectural Drawing ,Adri C Chrichton,https://collections.ed.ac.uk/art/record/21514?highlight=*:*
 Espresso Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53678?highlight=*:*
 (1965),Frances Sander,https://collections.ed.ac.uk/art/record/99526?highlight=*:*
 untitled (Unknown),Valerie Anderson,https://collections.ed.ac.uk/art/record/21890?highlight=*:*
 Prophet (1953),Ben Zion,https://collections.ed.ac.uk/art/record/21684?highlight=*:*
 Untitled ,R. Euman,https://collections.ed.ac.uk/art/record/112502?highlight=*:*
 Winged Victory of Samothrace (Post 1879),Musée Royal du Louvre,https://collections.ed.ac.uk/art/record/20585?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/50407?highlight=*:*
 Untitled - Abstract Ocean of Dark Reds and Greens and Blacks (1993),Norman Shaw,https://collections.ed.ac.uk/art/record/99463?highlight=*:*
 View of a Fair (1949),David McClure,https://collections.ed.ac.uk/art/record/21333?highlight=*:*
 Small brown female figure with long wavy hair ,,https://collections.ed.ac.uk/art/record/20547?highlight=*:*
 Portrait of a Woman (1954),David Ewans,https://collections.ed.ac.uk/art/record/21215?highlight=*:*
 Portrait of Seated Woman (1965),William Gillon,https://collections.ed.ac.uk/art/record/21343?highlight=*:*
 Man in Spanish Costume (1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21317?highlight=*:*
 Portrait of a Boy (1950),Cecile E. M. Johnstone,https://collections.ed.ac.uk/art/record/22667?highlight=*:*
 Untitled ,Roy M. W. Cameron,https://collections.ed.ac.uk/art/record/112348?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21565?highlight=*:*
 Portrait of a Man ,Claudia Petretti,https://collections.ed.ac.uk/art/record/21441?highlight=*:*
 Untitled (1974),Fiona Carlisle,https://collections.ed.ac.uk/art/record/21594?highlight=*:*
 Corner of the Garden Palazzo Barderini Rome (FEB 1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/20852?highlight=*:*
 Aerial (2007),Anna Warsop,https://collections.ed.ac.uk/art/record/99904?highlight=*:*
 Legless Graham (Unknown),Jennifer Blake,https://collections.ed.ac.uk/art/record/21995?highlight=*:*
 Untitled - Nude Male and Reflection (1967),Margaret Lothian,https://collections.ed.ac.uk/art/record/99271?highlight=*:*
" Metope 5, south entablature, Parthenon (1837)",,https://collections.ed.ac.uk/art/record/20650?highlight=*:*
 Interior Scene ,Sigrid Gordon,https://collections.ed.ac.uk/art/record/21462?highlight=*:*
 Landscape with Horse (1945-1946),William McLaren,https://collections.ed.ac.uk/art/record/21065?highlight=*:*
 Untitled ,Unknown,https://collections.ed.ac.uk/art/record/102671?highlight=*:*
 Unknown (1952),Rosemary Bagshaw,https://collections.ed.ac.uk/art/record/53518?highlight=*:*
 Unknown (1953-1954),Lawrence F. Baxter,https://collections.ed.ac.uk/art/record/50616?highlight=*:*
 Loading Cargo (1984),Gwyneth M. Leech,https://collections.ed.ac.uk/art/record/21902?highlight=*:*
 Standing Female Nude (possibly),Rose Rifat,https://collections.ed.ac.uk/art/record/21236?highlight=*:*
 Unknown (1950),Jacquetta Burn-Callander,https://collections.ed.ac.uk/art/record/50574?highlight=*:*
" Bank of the Amstel, Amsterdam (30 Aug 1948)",Marjorie Wallace,https://collections.ed.ac.uk/art/record/50448?highlight=*:*
 Seated Man and Woman ,Elizabeth Blackadder,https://collections.ed.ac.uk/art/record/20775?highlight=*:*
 Untitled - Leaning Semi-Nude Male (1962),Roselyn M Underwood,https://collections.ed.ac.uk/art/record/99443?highlight=*:*
 Apollo Sauroktonos ,Unknown,https://collections.ed.ac.uk/art/record/20588?highlight=*:*
 Building ,Stephanie Dees,https://collections.ed.ac.uk/art/record/122889?highlight=*:*
 Self portrait (2006),Bridget Steed,https://collections.ed.ac.uk/art/record/99857?highlight=*:*
 St. George (Pre 1837),Unknown,https://collections.ed.ac.uk/art/record/20590?highlight=*:*
 Unknown (1975),Ruth Stiven,https://collections.ed.ac.uk/art/record/50398?highlight=*:*
 Portrait of a Woman (1964),Carole V Danielson,https://collections.ed.ac.uk/art/record/21346?highlight=*:*
 Untitled - Life Drawing of Reclining Nude Male (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99250?highlight=*:*
 Unknown (Unknown),Margaret Clyde,https://collections.ed.ac.uk/art/record/21879?highlight=*:*
 Green and Cream Geometric (1974),Evelyn White,https://collections.ed.ac.uk/art/record/122810?highlight=*:*
 Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21786?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21617?highlight=*:*
 Aux cinq billiards (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99340?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21982?highlight=*:*
 Unitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99909?highlight=*:*
 Reclining Female Nude (1952),John Houston,https://collections.ed.ac.uk/art/record/21352?highlight=*:*
 Putto with a fish ,Unknown,https://collections.ed.ac.uk/art/record/20540?highlight=*:*
 Two Boxes on Pink (Circa 1968),Maureen Marshall,https://collections.ed.ac.uk/art/record/22563?highlight=*:*
 Untitled - Bearded Man at the Table (20 Oct 1962),John C Mark Jones,https://collections.ed.ac.uk/art/record/99258?highlight=*:*
 Untitled ,Sara Gough,https://collections.ed.ac.uk/art/record/112504?highlight=*:*
 Seated Female Nude ,Euan Gray,https://collections.ed.ac.uk/art/record/122854?highlight=*:*
 Sean Connery as a Life Model (1952),Alastair Fairweather,https://collections.ed.ac.uk/art/record/22598?highlight=*:*
 Still Life with Decanter (1962),Kathleen B. Russell,https://collections.ed.ac.uk/art/record/122780?highlight=*:*
 Stag ,Emma Gillies,https://collections.ed.ac.uk/art/record/53753?highlight=*:*
 Portrait of Josephine Baker (1997),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/50366?highlight=*:*
 Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53663?highlight=*:*
 Unknown (1948),Mabel D. Lawford,https://collections.ed.ac.uk/art/record/50537?highlight=*:*
 Seated Female Nude (21 NOV 1957),Sheena McEwan,https://collections.ed.ac.uk/art/record/20900?highlight=*:*
 Still Life (1949),Marion M Cooper,https://collections.ed.ac.uk/art/record/122908?highlight=*:*
 Untitled - Abstract Blue and Red Shapes (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/99387?highlight=*:*
 Self Portrait with Mirror (1953),Laura E. Nye,https://collections.ed.ac.uk/art/record/122756?highlight=*:*
 Ecorche of Houdon ,"Unknown, Unknown",https://collections.ed.ac.uk/art/record/20602?highlight=*:*
 Portrait of a Man in a Suit (Mar 1963),John Bellany,https://collections.ed.ac.uk/art/record/20776?highlight=*:*
 Kneeling Male Nude (1953),Adam M Martin,https://collections.ed.ac.uk/art/record/21058?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21569?highlight=*:*
 Unknown (1949),James N. Hardie,https://collections.ed.ac.uk/art/record/50532?highlight=*:*
 Silhouetted Head ,Leslie C. McConnell,https://collections.ed.ac.uk/art/record/122757?highlight=*:*
 Jacopo Nani (2019),Brandon Logan,https://collections.ed.ac.uk/art/record/113742?highlight=*:*
 Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53574?highlight=*:*
 Composition with Photo Screenprints of a Dead Rabbit (1972),Brent D. Millar,https://collections.ed.ac.uk/art/record/22572?highlight=*:*
 Unknown ,Alistair Fairweather,https://collections.ed.ac.uk/art/record/50424?highlight=*:*
 Student in the Studio ,Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21401?highlight=*:*
 Sitting Nude Woman (1978),Jill R. Penman,https://collections.ed.ac.uk/art/record/122716?highlight=*:*
 Dispersion (1991),Alastair Clark,https://collections.ed.ac.uk/art/record/21911?highlight=*:*
 Portrait of a Woman (1959),Kenneth Dingwall,https://collections.ed.ac.uk/art/record/21328?highlight=*:*
" Circo Togni, Ravenna (1957)",Peter McGinn,https://collections.ed.ac.uk/art/record/21114?highlight=*:*
 Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53630?highlight=*:*
 Unknown (1950),James Bowman,https://collections.ed.ac.uk/art/record/50610?highlight=*:*
 Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
 Unknown (1952),Leonard I. H. Gray,https://collections.ed.ac.uk/art/record/53487?highlight=*:*
 Untitled - Three Horse Riders (1963),Iona Murray,https://collections.ed.ac.uk/art/record/99403?highlight=*:*
 Teacup ,Emma Gillies,https://collections.ed.ac.uk/art/record/53643?highlight=*:*
 Man and Cauldron (1950),Alfred Hackney,https://collections.ed.ac.uk/art/record/21029?highlight=*:*
 Four Portraits of a Bearded Man (1955),Peter McGinn,https://collections.ed.ac.uk/art/record/21088?highlight=*:*
 Unttiled (Unknown),Adam M Martin,https://collections.ed.ac.uk/art/record/21830?highlight=*:*
 Seated Female Nude (1953),Andrew Restall,https://collections.ed.ac.uk/art/record/20946?highlight=*:*
 Untitled - Abstract Forest Landscape (1965-1966),Laura McPherson,https://collections.ed.ac.uk/art/record/99391?highlight=*:*
 Untitled (Unknown),Marjorie Ann,https://collections.ed.ac.uk/art/record/99907?highlight=*:*
 Cotton Wool Brain (2019),Zuzana Ullmannová,https://collections.ed.ac.uk/art/record/113744?highlight=*:*
 Couple Near a Window ,Unknown,https://collections.ed.ac.uk/art/record/22597?highlight=*:*
 Reclining Male Nude (Feb 1951),L Weir,https://collections.ed.ac.uk/art/record/21223?highlight=*:*
 Italian quilting in frame ,Unknown,https://collections.ed.ac.uk/art/record/102666?highlight=*:*
 Pair of sleeves ,Unknown,https://collections.ed.ac.uk/art/record/102676?highlight=*:*
 Unknown (1949),Richard Lovell,https://collections.ed.ac.uk/art/record/50488?highlight=*:*
 Woodland #4 (2007),Asbjorn Hollerud,https://collections.ed.ac.uk/art/record/99898?highlight=*:*
 Untitled (Unknown),Margaret Clyde,https://collections.ed.ac.uk/art/record/21628?highlight=*:*
 Standing Female Nude (1953),Allan Sutherland,https://collections.ed.ac.uk/art/record/20978?highlight=*:*
 Untitled (1994),Sara Ogilvie,https://collections.ed.ac.uk/art/record/21961?highlight=*:*
 Life-Drawing (1928),Robert Heriot Westwater,https://collections.ed.ac.uk/art/record/100023?highlight=*:*
 Minoan Fertility Goddess Figurines (2017),Daisy Silver,https://collections.ed.ac.uk/art/record/100015?highlight=*:*
 Untitled (2003),Robin Kukiel,https://collections.ed.ac.uk/art/record/99932?highlight=*:*
 Small Portrait of a Woman in Brown ,Polly A. Lister,https://collections.ed.ac.uk/art/record/22672?highlight=*:*
 Stretching Male Nude (Circa 1953),Valerie Donaldson,https://collections.ed.ac.uk/art/record/20949?highlight=*:*
 Untitled - Cubist Guitar Player (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99350?highlight=*:*
 Legless Graham (Unknown),Jennifer Blake,https://collections.ed.ac.uk/art/record/21997?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/50381?highlight=*:*
 Standing Female Nude (1951),,https://collections.ed.ac.uk/art/record/21068?highlight=*:*
 Untitled (1966),Jean Selby,https://collections.ed.ac.uk/art/record/22478?highlight=*:*
 Embroidered panel ,Winsome Douglass,https://collections.ed.ac.uk/art/record/113835?highlight=*:*
 Distortion 2 (2014),Ainsley Francis,https://collections.ed.ac.uk/art/record/47453?highlight=*:*
 Quick Sketch (1950),Patrick W. Barclay,https://collections.ed.ac.uk/art/record/50619?highlight=*:*
 Design folio (1961),Sheila Flinn,https://collections.ed.ac.uk/art/record/102686?highlight=*:*
 Transposition (Red and Gold) (2014),Emma Smith,https://collections.ed.ac.uk/art/record/47457?highlight=*:*
 Bust of the Prima Porta Augustus Caesar (Post 1863),,https://collections.ed.ac.uk/art/record/20549?highlight=*:*
 Untitled (1964),Carol Handyside,https://collections.ed.ac.uk/art/record/99840?highlight=*:*
 Unknown (1957),Peter G. Collins,https://collections.ed.ac.uk/art/record/50399?highlight=*:*
 Portrait of a Woman (1939),Olivia Cochrane,https://collections.ed.ac.uk/art/record/21132?highlight=*:*
 Male Nude with Staff (verso) ,Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/22654?highlight=*:*
 Seated Female Nude (1958),David Rifat,https://collections.ed.ac.uk/art/record/20873?highlight=*:*
 Standing Female Nude in Bathroom (1953),Ian West,https://collections.ed.ac.uk/art/record/20989?highlight=*:*
 Portrait of a Young Woman Sketching (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20887?highlight=*:*
 Portrait of a Seated Woman (1954),John P Busby,https://collections.ed.ac.uk/art/record/21376?highlight=*:*
 Untitled (1954),Ian Hodkinson,https://collections.ed.ac.uk/art/record/111041?highlight=*:*
 Portrait of Man at a Writing Bureau ,Unknown,https://collections.ed.ac.uk/art/record/122768?highlight=*:*
 Plate (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122128?highlight=*:*
 Hairy Veg (2016),Eden Hawkins,https://collections.ed.ac.uk/art/record/99266?highlight=*:*
 Standing Woman ,John Bellany,https://collections.ed.ac.uk/art/record/20766?highlight=*:*
 No 98 (1960),John Johnstone,https://collections.ed.ac.uk/art/record/99256?highlight=*:*
 Unknown ,George Roderick Carmichael,https://collections.ed.ac.uk/art/record/50566?highlight=*:*
 Untitled (Unknown),David Giblin,https://collections.ed.ac.uk/art/record/21635?highlight=*:*
 Unknown (1957),Alejandro B. Brasó,https://collections.ed.ac.uk/art/record/50602?highlight=*:*
 Untitled (1967),Laurence Roche,https://collections.ed.ac.uk/art/record/22480?highlight=*:*
 Craigleith Island July '92 (1992),Delia M Surplice,https://collections.ed.ac.uk/art/record/99415?highlight=*:*
 Portrait of a Man (1968),Donald C S Shaw,https://collections.ed.ac.uk/art/record/21403?highlight=*:*
 Tskihrva (Unknown),Boris Bućan,https://collections.ed.ac.uk/art/record/22043?highlight=*:*
 Standing Female Nude ,Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/122776?highlight=*:*
 Black Bodice (1996),Anna Millar,https://collections.ed.ac.uk/art/record/22612?highlight=*:*
 Broderie Anglais jacket ,Unknown,https://collections.ed.ac.uk/art/record/102664?highlight=*:*
 Vase (1920s),Emma Gillies,https://collections.ed.ac.uk/art/record/122132?highlight=*:*
 Still Life ,Zygmunt Bukowski,https://collections.ed.ac.uk/art/record/122894?highlight=*:*
 Untitled - Drawing of Harbour (1967),Isobel T Johnstone,https://collections.ed.ac.uk/art/record/99255?highlight=*:*
 Felicity Who Went to Peru (1986),Faye Banks,https://collections.ed.ac.uk/art/record/21897?highlight=*:*
 Unknown (1968),Kenneth R Duffy,https://collections.ed.ac.uk/art/record/99514?highlight=*:*
 Untitled - Children Playing (1963),Monika L I Uecker,https://collections.ed.ac.uk/art/record/99445?highlight=*:*
 Unknown (1994),Esther Tacke,https://collections.ed.ac.uk/art/record/21914?highlight=*:*
 Isobel L Alexander sampler (1944),Isobel L Alexander,https://collections.ed.ac.uk/art/record/102668?highlight=*:*
 Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50470?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99960?highlight=*:*
 Cow ,Emma Gillies,https://collections.ed.ac.uk/art/record/53757?highlight=*:*
 Portrait (1954),Ursula Giles,https://collections.ed.ac.uk/art/record/21207?highlight=*:*
 Seated Female Nude (1954),D Stewart Lowdon,https://collections.ed.ac.uk/art/record/21241?highlight=*:*
 Portrait of a Standing Woman (1950),Edward Stratton,https://collections.ed.ac.uk/art/record/20825?highlight=*:*
 Untitled (2003),Andrea Bain,https://collections.ed.ac.uk/art/record/99928?highlight=*:*
 Game Birds ,George Glen,https://collections.ed.ac.uk/art/record/53607?highlight=*:*
 Untitled (2002),Kirsty MacDonald,https://collections.ed.ac.uk/art/record/99929?highlight=*:*
 Untitled (1963),Ruth Walker,https://collections.ed.ac.uk/art/record/22023?highlight=*:*
 Standing Male Nude leaning on a Plinth (1959),George MacIntosh,https://collections.ed.ac.uk/art/record/20885?highlight=*:*
 Water Dance (Porthmeor) IV (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54753?highlight=*:*
 Part of petticoat ,Unknown,https://collections.ed.ac.uk/art/record/100004?highlight=*:*
 Espresso Cup ,Emma Gillies,https://collections.ed.ac.uk/art/record/53703?highlight=*:*
 3 peakcocks all sitting in similar position on tree branch (1962-1963),Lesley M. Johns,https://collections.ed.ac.uk/art/record/99331?highlight=*:*
 House and Figures in a Landscape ,Judith A. Heller,https://collections.ed.ac.uk/art/record/22578?highlight=*:*
 Untitled - Man Sitting at the Table Drinking Tea (01 May 1961),John C Mark Jones,https://collections.ed.ac.uk/art/record/99259?highlight=*:*
 Unknown (1950),Patrick W. Barclay,https://collections.ed.ac.uk/art/record/50620?highlight=*:*
 Lorenzo de' Medici (Pre 1837),Unknown,https://collections.ed.ac.uk/art/record/20595?highlight=*:*
 Angel Playing Pipes ,Unknown,https://collections.ed.ac.uk/art/record/20608?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/50419?highlight=*:*
 La Messe de Minuit - Église St Eustache (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99342?highlight=*:*
 Untitled (Unknown),Louisa Burnett Hall,https://collections.ed.ac.uk/art/record/21958?highlight=*:*
 Seated Female Nude with Striped Floor Drape ,Unknown,https://collections.ed.ac.uk/art/record/22642?highlight=*:*
 Untitled (1969),Jennifer M. Hughes,https://collections.ed.ac.uk/art/record/99837?highlight=*:*
 Sunset (1959),Denness Morton,https://collections.ed.ac.uk/art/record/21081?highlight=*:*
 Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53660?highlight=*:*
 Untitled (1991-1992),Kate McKenzie,https://collections.ed.ac.uk/art/record/21993?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/50382?highlight=*:*
 Untitled (1989),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21909?highlight=*:*
 Portrait of a Man (1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/21316?highlight=*:*
 Vision in Time III (2006),Wilhelmina Barns-Graham CBE HRSA HRSW,https://collections.ed.ac.uk/art/record/54752?highlight=*:*
" Temple Cottage, Temple, View of Garden ",Sir William George Gillies,https://collections.ed.ac.uk/art/record/99221?highlight=*:*
 Standing Male Nude with Staff (Circa 1952),David Michie,https://collections.ed.ac.uk/art/record/21035?highlight=*:*
 March Morning (Circa 1956),Peter G. Collins,https://collections.ed.ac.uk/art/record/22648?highlight=*:*
 Landscape (1987),Brian Godley,https://collections.ed.ac.uk/art/record/112496?highlight=*:*
 Unknown ,Fiona Hewitt,https://collections.ed.ac.uk/art/record/53599?highlight=*:*
 Untitled (1986),Andrew Arnott,https://collections.ed.ac.uk/art/record/21626?highlight=*:*
 Self Portrait ,Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/22699?highlight=*:*
 Evening Jaipur No.2 ,Ernest S. Lumsden,https://collections.ed.ac.uk/art/record/21750?highlight=*:*
 Teacup ,Emma Gillies,https://collections.ed.ac.uk/art/record/53639?highlight=*:*
 Charioteer facing right ,,https://collections.ed.ac.uk/art/record/20660?highlight=*:*
 Orange Abstract (1987),Alistair Banks,https://collections.ed.ac.uk/art/record/22724?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21621?highlight=*:*
 Falling Figure in an Autumn Valley (1968),Alistair T. B. Burns,https://collections.ed.ac.uk/art/record/22589?highlight=*:*
 Reclining Female Nude (1959),Jean I. Beattie,https://collections.ed.ac.uk/art/record/20922?highlight=*:*
 San Gimignano from the Fields (1989),Jane V Hyslop,https://collections.ed.ac.uk/art/record/21693?highlight=*:*
 Architectural Scene ,Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21451?highlight=*:*
" Armorial panel from left tower of Mar's Wark, Stirling (Pre 1893)",Unknown,https://collections.ed.ac.uk/art/record/20555?highlight=*:*
 Landscape with Farmhouse (1948),Margaret Simster,https://collections.ed.ac.uk/art/record/20799?highlight=*:*
 Untitled ,Kirkland Main,https://collections.ed.ac.uk/art/record/99988?highlight=*:*
 Unknown (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21807?highlight=*:*
 Self Portrait (Nov 1981),Richard Wright,https://collections.ed.ac.uk/art/record/20771?highlight=*:*
 Untitled (Unknown),Renny Tait,https://collections.ed.ac.uk/art/record/21645?highlight=*:*
 Untitled (2002),Ahjae Lim,https://collections.ed.ac.uk/art/record/99936?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/53542?highlight=*:*
" Barges, 1 Jan '63 (1963)",Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99369?highlight=*:*
 High St. Harlesden (1964-1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99283?highlight=*:*
 Untitled (2003),Scott Laverie,https://collections.ed.ac.uk/art/record/93377?highlight=*:*
 Portrait of a Man ,Michael Douleny,https://collections.ed.ac.uk/art/record/21480?highlight=*:*
 Aduton 51 (1977),Paul Feiler,https://collections.ed.ac.uk/art/record/21666?highlight=*:*
 19th century handkerchief (1800-1899),Unknown,https://collections.ed.ac.uk/art/record/102683?highlight=*:*
 Unknown (1985),Sarah Setchfield,https://collections.ed.ac.uk/art/record/50432?highlight=*:*
 Park Band Stand Scene (1952),Ian Lawson,https://collections.ed.ac.uk/art/record/122687?highlight=*:*
 Unknown (1957),Peter Coyle,https://collections.ed.ac.uk/art/record/50512?highlight=*:*
 Untitled (2002),Elaine Bay,https://collections.ed.ac.uk/art/record/99948?highlight=*:*
 Portrait of a Bearded Man (1950s),J Guthrie,https://collections.ed.ac.uk/art/record/20975?highlight=*:*
 House in a Landscape ,Unknown,https://collections.ed.ac.uk/art/record/21501?highlight=*:*
 Aphrodite and Eros East Frieze of the Parthenon ,,https://collections.ed.ac.uk/art/record/20683?highlight=*:*
 Taking the Veil (1987),Elspeth Lamb,https://collections.ed.ac.uk/art/record/21924?highlight=*:*
 Zoo 9th May (1962-1963),Lesley M. Johns,https://collections.ed.ac.uk/art/record/99330?highlight=*:*
 Bubbie's Bay (2006),Rhoda Rosenburg,https://collections.ed.ac.uk/art/record/99878?highlight=*:*
 Body Print (1982),Paul Duffus,https://collections.ed.ac.uk/art/record/21965?highlight=*:*
 Snow Covered Landscape ,Sheila Arnot,https://collections.ed.ac.uk/art/record/21479?highlight=*:*
 Dark Landscape with Monoliths (1959),Jacqueline A N Stieger,https://collections.ed.ac.uk/art/record/20823?highlight=*:*
 Krokadeel (1959),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/22035?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21713?highlight=*:*
 Standing Female Nude ,George A. MacPherson,https://collections.ed.ac.uk/art/record/122733?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21633?highlight=*:*
 Unknown (1960),Hugh Deans,https://collections.ed.ac.uk/art/record/53572?highlight=*:*
 Unknown (1960),Thora Clyne,https://collections.ed.ac.uk/art/record/50558?highlight=*:*
" Figure in a Garden, Florence (1946)",Brodie,https://collections.ed.ac.uk/art/record/50495?highlight=*:*
 Untitled ,Dr Ainslie Yule,https://collections.ed.ac.uk/art/record/99533?highlight=*:*
 Untitled - Figure Drawing of A Woman with Pig Tails (1965),Gordon Bryce,https://collections.ed.ac.uk/art/record/99281?highlight=*:*
 Male Nude on Step Ladders ,Helen G. S Forde,https://collections.ed.ac.uk/art/record/22671?highlight=*:*
 Unknown (1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/50446?highlight=*:*
 Unknown (1963),Leslie Johns,https://collections.ed.ac.uk/art/record/50435?highlight=*:*
 Untitled - Figures and Bicycles in the City (1965-1966),James B. Thomson,https://collections.ed.ac.uk/art/record/99450?highlight=*:*
 Portrait of a Woman (1951),Madelaine Philip,https://collections.ed.ac.uk/art/record/21233?highlight=*:*
 Portrait of a Young Man (1950),Joseph Maxwell,https://collections.ed.ac.uk/art/record/21061?highlight=*:*
 Unknown (Circa 1890),Unknown,https://collections.ed.ac.uk/art/record/50467?highlight=*:*
 Untitled (1983),Robert Rivers,https://collections.ed.ac.uk/art/record/99807?highlight=*:*
 Unknown (1993),Rolandos Rimkunas,https://collections.ed.ac.uk/art/record/99851?highlight=*:*
 Seated Female Nude (Circa 1968),Alan T. Johnston,https://collections.ed.ac.uk/art/record/20748?highlight=*:*
 Untitled (2007),Rita Marhaug,https://collections.ed.ac.uk/art/record/99979?highlight=*:*
 Unknown (1957),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50523?highlight=*:*
 Untitled - Abstract Crowd Scene (1964-1965),William Gillon,https://collections.ed.ac.uk/art/record/99477?highlight=*:*
 Portrait of a Young Boy (1956),David McClure,https://collections.ed.ac.uk/art/record/21334?highlight=*:*
 Portrait of a Woman (1951),Rosemary Bagshawe,https://collections.ed.ac.uk/art/record/21234?highlight=*:*
 Man in a Suit Seated on a Stool (1959),Albert Robson,https://collections.ed.ac.uk/art/record/20785?highlight=*:*
 Unknown (1960),Vivien Alexander,https://collections.ed.ac.uk/art/record/50626?highlight=*:*
 Untitled (1947),Allan W. Robson,https://collections.ed.ac.uk/art/record/21745?highlight=*:*
" Couplings, Escalator for sale (2017)",Tessa Lynch,https://collections.ed.ac.uk/art/record/102736?highlight=*:*
 Untitled (1981),Jane Fairclough,https://collections.ed.ac.uk/art/record/21591?highlight=*:*
 Untitled (Unknown),Derek McGuire,https://collections.ed.ac.uk/art/record/21912?highlight=*:*
" Composition with Hieroglyphics, Signs and Symbols (Circa 1977)",Sally E. Oswald,https://collections.ed.ac.uk/art/record/22561?highlight=*:*
 Unknown ,Ursula Giles,https://collections.ed.ac.uk/art/record/53489?highlight=*:*
 Self Portrait (1956),Rose Rifat,https://collections.ed.ac.uk/art/record/21189?highlight=*:*
 Cafe (Circa 1955),Alexander S Campbell,https://collections.ed.ac.uk/art/record/122844?highlight=*:*
 Riders: Parthenon Frieze (1836-1837),,https://collections.ed.ac.uk/art/record/20707?highlight=*:*
 Nettleton (1977),"Eduardo Luigi Paolozzi KBE, RA",https://collections.ed.ac.uk/art/record/21698?highlight=*:*
 Unknown (1950),John W. Corner,https://collections.ed.ac.uk/art/record/50521?highlight=*:*
 Untitled (1964),James Goodall,https://collections.ed.ac.uk/art/record/99846?highlight=*:*
 Sketches of Five Heads (1959),Denness Morton,https://collections.ed.ac.uk/art/record/20886?highlight=*:*
 Portrait of a Woman (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/21007?highlight=*:*
" The Old Church, Corstorphine (1939)",Hugh Ross Mackean,https://collections.ed.ac.uk/art/record/21827?highlight=*:*
 Unknown ,Unknown,https://collections.ed.ac.uk/art/record/50379?highlight=*:*
 Still Life Lobster Creel (1965),Helen M. Percy,https://collections.ed.ac.uk/art/record/122870?highlight=*:*
 Crowd in Glasgow (1963),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/21359?highlight=*:*
 Lid ,Emma Gillies,https://collections.ed.ac.uk/art/record/122074?highlight=*:*
 Performing Labour: a guide to creative resistance (2020),Aisling Ward,https://collections.ed.ac.uk/art/record/113779?highlight=*:*
 Three Views of a Standing Male Nude (1948),John Thompson,https://collections.ed.ac.uk/art/record/20844?highlight=*:*
