Title,Artist,Link
 View of a Street (1980),Calum Wilson,https://collections.ed.ac.uk/art/record/21454?highlight=*:*
 Fragment of ornament (arch springing) ,Unknown,https://collections.ed.ac.uk/art/record/20566?highlight=*:*
 Opuntia Basilaris Engelmann and Bigelow 1856 (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/record/99458?highlight=*:*
 Standing Male Nude (1930-1931),John McNairn,https://collections.ed.ac.uk/art/record/21140?highlight=*:*
 Portrait of a Woman (1949),Leszek Muszynski,https://collections.ed.ac.uk/art/record/21076?highlight=*:*
 Coffee Pot ,Emma Gillies,https://collections.ed.ac.uk/art/record/53691?highlight=*:*
 South Frieze of the Parthenon Frieze (1836-1837),,https://collections.ed.ac.uk/art/record/20691?highlight=*:*
 Untitled - Nude Woman in Red Reclining on a Red Couch (1963),Meriel A W de C Acton,https://collections.ed.ac.uk/art/record/99476?highlight=*:*
 Riders from the North Frieze of the Parthenon (1836-1837),,https://collections.ed.ac.uk/art/record/20699?highlight=*:*
 Unknown (1958),Katherine Cowan,https://collections.ed.ac.uk/art/record/50514?highlight=*:*
 Farm Building (01 May 1985),Allison E Sharpe,https://collections.ed.ac.uk/art/record/21467?highlight=*:*
 From the Viking Age (1897),Pavlov Chailly,https://collections.ed.ac.uk/art/record/50469?highlight=*:*
 Untitled ,David C Duke,https://collections.ed.ac.uk/art/record/22574?highlight=*:*
 'Gordini' Fairground Ride ,Hazel Walker,https://collections.ed.ac.uk/art/record/21508?highlight=*:*
" 3,500 Men (May 1986)",Andrew Arnott,https://collections.ed.ac.uk/art/record/99470?highlight=*:*
 Studio Corner (2003),Peter Scott,https://collections.ed.ac.uk/art/record/99937?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21627?highlight=*:*
 Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99912?highlight=*:*
 Portrait of Two Heads (1952),Ian Lawson,https://collections.ed.ac.uk/art/record/21015?highlight=*:*
 Saucer ,Emma Gillies,https://collections.ed.ac.uk/art/record/53622?highlight=*:*
 Big Top (Circa 1968),Gillian Mather,https://collections.ed.ac.uk/art/record/21485?highlight=*:*
 Chinese spectacle case ,Unknown,https://collections.ed.ac.uk/art/record/102704?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/22000?highlight=*:*
 Portrait of James McComb (1950),Thomas Kim Redpath,https://collections.ed.ac.uk/art/record/122732?highlight=*:*
 Prendre la clef des Chaps (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99346?highlight=*:*
 Unknown ,Audrey C. Redpath,https://collections.ed.ac.uk/art/record/50434?highlight=*:*
 Untitled (1968),Maureen Purcell,https://collections.ed.ac.uk/art/record/22499?highlight=*:*
 Earth II ,Garry Marshall,https://collections.ed.ac.uk/art/record/122723?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21551?highlight=*:*
 Drawing of Monaghan (1955),Edith Duke,https://collections.ed.ac.uk/art/record/21217?highlight=*:*
 Unknown (1950),Katherine B K Burns,https://collections.ed.ac.uk/art/record/50571?highlight=*:*
 Standing Male Nude (1959),Gwen Reilly,https://collections.ed.ac.uk/art/record/21151?highlight=*:*
 Inscription Panel from Trajan's Column (right side) ,Unknown,https://collections.ed.ac.uk/art/record/20537?highlight=*:*
 Untitled ,Robin S. Taylor,https://collections.ed.ac.uk/art/record/122968?highlight=*:*
 Unknown (1950),Alexander Cree,https://collections.ed.ac.uk/art/record/50544?highlight=*:*
 Untitled - Portrait of a Reading Woman (Apr 1963),William Gillon,https://collections.ed.ac.uk/art/record/99478?highlight=*:*
 Portrait of a Woman (1947),James Cumming,https://collections.ed.ac.uk/art/record/21363?highlight=*:*
 Oedipus is King (Circa 1964),Kirkland Main,https://collections.ed.ac.uk/art/record/122717?highlight=*:*
 Untitled (1967),Christine Watson,https://collections.ed.ac.uk/art/record/21772?highlight=*:*
 Untitled (1969),John Stewart,https://collections.ed.ac.uk/art/record/99528?highlight=*:*
 Untitled - Life Drawing of Skeletons (1963),William O. Little,https://collections.ed.ac.uk/art/record/99268?highlight=*:*
 Plate ,Emma Gillies,https://collections.ed.ac.uk/art/record/53673?highlight=*:*
 Untitled (1983),Unknown,https://collections.ed.ac.uk/art/record/21837?highlight=*:*
 Male Nude Seated (Circa 1949),Alistair F. Flattely,https://collections.ed.ac.uk/art/record/122918?highlight=*:*
 Still Life with Green Boots and Knotted Rope (1987),Sheila Arnot,https://collections.ed.ac.uk/art/record/22543?highlight=*:*
 Untitled (1965),Hugh Tuckerman,https://collections.ed.ac.uk/art/record/22025?highlight=*:*
 Landscape (1951),James P W Syme,https://collections.ed.ac.uk/art/record/20836?highlight=*:*
 Toledo (1950),Alastair Flattely,https://collections.ed.ac.uk/art/record/21374?highlight=*:*
 Venus Marina ,Unknown,https://collections.ed.ac.uk/art/record/20594?highlight=*:*
 Side Plate ,Emma Gillies,https://collections.ed.ac.uk/art/record/53611?highlight=*:*
 Reclining Male Nude (1956),Ballantyne,https://collections.ed.ac.uk/art/record/21244?highlight=*:*
 Hibernation (1987),Alastair Mack,https://collections.ed.ac.uk/art/record/21842?highlight=*:*
 Untitled (Unknown),Victoria C F Bernie,https://collections.ed.ac.uk/art/record/21784?highlight=*:*
 Two Girls by the Harbour (2006),John Bellany,https://collections.ed.ac.uk/art/record/21531?highlight=*:*
 Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21870?highlight=*:*
 Swirl V (1998),Fionna Buck,https://collections.ed.ac.uk/art/record/21674?highlight=*:*
 Portrait of a Man in a Suit (1958),Ian Hodkinson,https://collections.ed.ac.uk/art/record/20881?highlight=*:*
 Portrait of a Man (1961),James Fairgrieve,https://collections.ed.ac.uk/art/record/21396?highlight=*:*
 Unknown (1948),John W. Corner,https://collections.ed.ac.uk/art/record/50516?highlight=*:*
 Unknown (1956),Alan M. Alexander,https://collections.ed.ac.uk/art/record/50597?highlight=*:*
 Untitled (Unknown),Joanne Leonie Milne,https://collections.ed.ac.uk/art/record/21931?highlight=*:*
 Portrait of a Woman (1962),Hope,https://collections.ed.ac.uk/art/record/21281?highlight=*:*
 Riders from West Frieze of the Parthenon (1836-1837),,https://collections.ed.ac.uk/art/record/20663?highlight=*:*
 Back of Bennachie ,Hazel Holmes,https://collections.ed.ac.uk/art/record/21623?highlight=*:*
 Portrait of a Young Man (1950),Alexander F Mitchell,https://collections.ed.ac.uk/art/record/21056?highlight=*:*
 On Italian Balcony ,Muriel Davidson,https://collections.ed.ac.uk/art/record/53477?highlight=*:*
 Seated Male Nude (1955),Rosemary Gray,https://collections.ed.ac.uk/art/record/21188?highlight=*:*
 Untitled - Nude Female Lying On a Patterned Bed (1967),Kevin Maguire,https://collections.ed.ac.uk/art/record/99358?highlight=*:*
